epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.26829269528388977,"""[0.14989732, 0.052401748, 0.36752138, 0.3331464, 0.00990099, 0.025925925]""",1.8101094961166382,0.3173076808452606,"""[0.0, 0.0, 0.40606767, 0.4627249, 0.0, 0.0]""",1.686554193496704
1,0.3216875493526459,"""[0.19850586, 0.0, 0.40435833, 0.42695358, 0.0, 0.019342357]""",1.6822259426116943,0.3545673191547394,"""[0.035928145, 0.0, 0.45292622, 0.49457702, 0.0, 0.0]""",1.6191462278366089
2,0.353658527135849,"""[0.251938, 0.0, 0.42959642, 0.46095854, 0.0, 0.12371134]""",1.5955119132995605,0.38100960850715637,"""[0.23809525, 0.0, 0.46746346, 0.44908613, 0.0, 0.33112583]""",1.5469648838043213
3,0.40441662073135376,"""[0.3359073, 0.0, 0.47519842, 0.47785676, 0.0, 0.33012047]""",1.5002940893173218,0.4483173191547394,"""[0.39694652, 0.0, 0.46511626, 0.44943818, 0.0, 0.6864407]""",1.4524166584014893
4,0.4344100058078766,"""[0.3505535, 0.0, 0.46075433, 0.5164034, 0.0, 0.49702972]""",1.422838568687439,0.36298078298568726,"""[0.33753148, 0.0, 0.4502924, 0.2181818, 0.0, 0.5483871]""",1.6561044454574585
5,0.4726433753967285,"""[0.41207814, 0.0, 0.4641711, 0.5555555, 0.0, 0.5906838]""",1.3696010112762451,0.5324519276618958,"""[0.53642386, 0.0, 0.49918965, 0.61881185, 0.0, 0.7685185]""",1.2697151899337769
6,0.4802241325378418,"""[0.41570884, 0.0, 0.47327447, 0.56134266, 0.010416667, 0.5965966]""",1.3461540937423706,0.5336538553237915,"""[0.55333334, 0.0, 0.4882943, 0.6282973, 0.0, 0.74008816]""",1.243908405303955
7,0.4901120662689209,"""[0.41300192, 0.0, 0.4874933, 0.5639568, 0.0, 0.6221786]""",1.2974936962127686,0.5288461446762085,"""[0.51546395, 0.0, 0.48571426, 0.65938866, 0.0, 0.71232873]""",1.1619473695755005
8,0.49538561701774597,"""[0.36345378, 0.0, 0.4787686, 0.6017131, 0.010526316, 0.6491043]""",1.2789891958236694,0.5396634340286255,"""[0.5185185, 0.0, 0.49300703, 0.65734273, 0.0, 0.74439466]""",1.1622055768966675
9,0.5082399249076843,"""[0.38716146, 0.0, 0.52025586, 0.5960126, 0.010416667, 0.63825136]""",1.2801162004470825,0.5240384340286255,"""[0.48809522, 0.0, 0.45418328, 0.6653061, 0.0, 0.7230047]""",1.1944056749343872
10,0.5042847990989685,"""[0.38844624, 0.010752688, 0.48827294, 0.60361314, 0.03980099, 0.66158867]""",1.2584134340286255,0.5745192170143127,"""[0.5018182, 0.0, 0.56660414, 0.69632494, 0.0, 0.74999994]""",1.1317551136016846
