epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.2471984177827835,"""[0.21393035, 0.009433962, 0.26782393, 0.34288198, 0.0, 0.03339518]""",7.580170154571533,0.3197115361690521,"""[0.0, 0.0, 0.3875969, 0.4843424, 0.0, 0.0]""",2.4520366191864014
1,0.34245219826698303,"""[0.2106406, 0.0, 0.3946102, 0.41612092, 0.0, 0.33286715]""",1.978871464729309,0.43389421701431274,"""[0.25, 0.0, 0.4340278, 0.5247934, 0.0, 0.6666666]""",1.7310683727264404
2,0.42353329062461853,"""[0.19036697, 0.0, 0.4721279, 0.48317307, 0.0, 0.57012755]""",1.6936160326004028,0.46514421701431274,"""[0.0, 0.0, 0.55051243, 0.512676, 0.0, 0.6297376]""",1.5599133968353271
3,0.45978906750679016,"""[0.26293105, 0.0, 0.5094162, 0.49113923, 0.0, 0.6423903]""",1.572574496269226,0.4711538553237915,"""[0.0, 0.0, 0.55039996, 0.54273504, 0.0, 0.6763636]""",1.513285756111145
4,0.46572181582450867,"""[0.26442814, 0.0, 0.49047384, 0.5349693, 0.041450776, 0.64727956]""",1.5240535736083984,0.4735576808452606,"""[0.0, 0.0, 0.5385779, 0.57339454, 0.032258064, 0.6521739]""",1.4234594106674194
5,0.4957152307033539,"""[0.26494724, 0.0, 0.5310893, 0.5620754, 0.19491528, 0.66346157]""",1.484662652015686,0.5336538553237915,"""[0.20725389, 0.0, 0.561194, 0.65217394, 0.26086956, 0.7672414]""",1.3753836154937744
6,0.5270270109176636,"""[0.35379812, 0.0, 0.53735775, 0.60629416, 0.31360948, 0.71203154]""",1.4395748376846313,0.5444711446762085,"""[0.050314467, 0.0, 0.60810804, 0.66494846, 0.3576159, 0.7197452]""",1.3941380977630615
7,0.5296638011932373,"""[0.3530612, 0.047393367, 0.5415605, 0.61267143, 0.3457447, 0.7215064]""",1.4132633209228516,0.546875,"""[0.32535884, 0.0, 0.57894737, 0.6226013, 0.42603552, 0.7798165]""",1.407426357269287
8,0.5781146883964539,"""[0.41865286, 0.011111111, 0.59373397, 0.6525096, 0.43735763, 0.75279754]""",1.3308292627334595,0.5757211446762085,"""[0.38793102, 0.0, 0.6118547, 0.65416664, 0.45070425, 0.7555556]""",1.291222095489502
9,0.5899802446365356,"""[0.4543651, 0.048780486, 0.5961032, 0.65052766, 0.45063293, 0.7936842]""",1.292249083518982,0.6322115659713745,"""[0.53281856, 0.03333333, 0.6189555, 0.69194305, 0.5362319, 0.8432836]""",1.1670924425125122
10,0.6268951892852783,"""[0.55787474, 0.055813957, 0.6264275, 0.6790757, 0.5064378, 0.80982906]""",1.2155903577804565,0.6382211446762085,"""[0.6022099, 0.17977528, 0.58823526, 0.7235142, 0.5352112, 0.876033]""",1.1711559295654297
11,0.6450230479240417,"""[0.5766758, 0.1563786, 0.64920276, 0.70632434, 0.44389024, 0.81670064]""",1.2008495330810547,0.598557710647583,"""[0.55319154, 0.023255814, 0.5829146, 0.68604654, 0.50980395, 0.8543689]""",1.332529067993164
12,0.6371127367019653,"""[0.53649634, 0.1328125, 0.63912797, 0.70148295, 0.4954955, 0.84049076]""",1.2244174480438232,0.6550480723381042,"""[0.610951, 0.19047621, 0.6387665, 0.7219512, 0.53658533, 0.8536585]""",1.094584584236145
13,0.6746869087219238,"""[0.6116592, 0.24000001, 0.67172897, 0.73633045, 0.46197182, 0.8497409]""",1.1118336915969849,0.6778846383094788,"""[0.552, 0.20408164, 0.7052442, 0.7512195, 0.592, 0.868421]""",1.1181269884109497
14,0.6868820190429688,"""[0.6310161, 0.25270757, 0.6825492, 0.7565872, 0.5104408, 0.84766835]""",1.092341423034668,0.7163461446762085,"""[0.6644068, 0.55714285, 0.7243736, 0.75714284, 0.5673759, 0.8820961]""",1.0631232261657715
15,0.7086354494094849,"""[0.6624888, 0.41159418, 0.71102893, 0.75862074, 0.5026455, 0.85830784]""",1.0702176094055176,0.6899038553237915,"""[0.69610393, 0.29166666, 0.66334164, 0.7440758, 0.5344827, 0.8606558]""",1.0975514650344849
16,0.696110725402832,"""[0.637931, 0.32587862, 0.6941032, 0.76112854, 0.5051546, 0.8556911]""",1.1109962463378906,0.6802884340286255,"""[0.56916994, 0.29473683, 0.6791666, 0.76404494, 0.6025641, 0.85106385]""",1.1146801710128784
17,0.727752149105072,"""[0.6810631, 0.3888889, 0.72894895, 0.7836631, 0.5885559, 0.8580184]""",1.0440330505371094,0.7439903616905212,"""[0.7207792, 0.47457626, 0.7471526, 0.8029197, 0.5693431, 0.89243025]""",1.0313398838043213
18,0.7462096214294434,"""[0.7135593, 0.44886363, 0.7530159, 0.8078382, 0.553616, 0.8609407]""",1.0270746946334839,0.7199519276618958,"""[0.6782609, 0.39316243, 0.7021792, 0.7881774, 0.6101695, 0.890566]""",1.0872924327850342
