epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.40013185143470764,"""[0.28654402, 0.06140351, 0.4358108, 0.44592348, 0.16, 0.5204617]""",1.5007050037384033,0.5372596383094788,"""[0.27272725, 0.0, 0.53943217, 0.6624738, 0.0, 0.7878788]""",1.1652964353561401
1,0.5184574723243713,"""[0.46206895, 0.056074765, 0.5193108, 0.571758, 0.24840766, 0.67983365]""",1.1764377355575562,0.6237980723381042,"""[0.513834, 0.05555556, 0.63366336, 0.6997929, 0.42307693, 0.8178138]""",1.0001561641693115
2,0.5800923109054565,"""[0.54452926, 0.13934426, 0.55602664, 0.6453144, 0.33793104, 0.72691554]""",1.0573081970214844,0.6622596383094788,"""[0.64666665, 0.029411765, 0.6666667, 0.6993865, 0.4719101, 0.8359375]""",0.9131336808204651
3,0.5949242115020752,"""[0.55643046, 0.19246861, 0.5949519, 0.64546525, 0.28664494, 0.74139625]""",0.9931507110595703,0.6394230723381042,"""[0.57723576, 0.090909086, 0.660746, 0.655, 0.49541286, 0.8142857]""",0.9190921783447266
4,0.619644045829773,"""[0.5513513, 0.20491804, 0.6186636, 0.6760736, 0.43373495, 0.765748]""",0.9274054169654846,0.7175480723381042,"""[0.71382636, 0.0, 0.7364185, 0.75113124, 0.57894737, 0.8455285]""",0.7742906808853149
5,0.6252471804618835,"""[0.605197, 0.23346303, 0.6002446, 0.67924523, 0.4390244, 0.7616222]""",0.9159930944442749,0.6862980723381042,"""[0.70481926, 0.16438358, 0.70886075, 0.73956263, 0.30952382, 0.81818175]""",0.8188530802726746
6,0.6410679221153259,"""[0.5965858, 0.21645021, 0.6397146, 0.6944114, 0.46321526, 0.7673716]""",0.8878090381622314,0.6790865659713745,"""[0.68438536, 0.08450704, 0.7033899, 0.7050998, 0.4583333, 0.8205128]""",0.7814143896102905
7,0.6539222002029419,"""[0.6096529, 0.2792453, 0.64176357, 0.7101449, 0.45747802, 0.80040324]""",0.8485717177391052,0.707932710647583,"""[0.6840391, 0.1764706, 0.6903353, 0.77232146, 0.6037736, 0.8596491]""",0.7446474432945251
8,0.66315096616745,"""[0.6265664, 0.296, 0.6553604, 0.7067004, 0.47769028, 0.81231385]""",0.8177042007446289,0.692307710647583,"""[0.65185183, 0.032786887, 0.7039337, 0.7292111, 0.5087719, 0.87640446]""",0.7320883870124817
9,0.662162184715271,"""[0.61159927, 0.265625, 0.6437198, 0.72475964, 0.45747802, 0.8153998]""",0.8014193773269653,0.7271634340286255,"""[0.70103097, 0.08823529, 0.71666664, 0.79822624, 0.64864874, 0.85171103]""",0.7188603281974792
10,0.6654581427574158,"""[0.60768545, 0.30656934, 0.6682464, 0.71446085, 0.4398827, 0.81854033]""",0.8000115156173706,0.7127403616905212,"""[0.7209302, 0.1388889, 0.6855895, 0.7913044, 0.5411765, 0.83265305]""",0.7190390229225159
11,0.6888595819473267,"""[0.6520979, 0.3188406, 0.6825208, 0.74282223, 0.53488374, 0.8101523]""",0.7735103964805603,0.7091346383094788,"""[0.7155964, 0.114285715, 0.6927835, 0.775701, 0.5504587, 0.8571428]""",0.7020608186721802
12,0.6872115731239319,"""[0.64465684, 0.3392226, 0.6726511, 0.7431078, 0.56733525, 0.8094302]""",0.7502331137657166,0.7127403616905212,"""[0.70821536, 0.05882353, 0.69302326, 0.79919684, 0.57142854, 0.82949305]""",0.7175534963607788
13,0.6809492707252502,"""[0.65384614, 0.30350196, 0.67281675, 0.7238805, 0.52631575, 0.80784315]""",0.7474548816680908,0.707932710647583,"""[0.662021, 0.08823529, 0.6932408, 0.7797469, 0.59770113, 0.88799995]""",0.6984780430793762
14,0.6858932375907898,"""[0.661431, 0.37209302, 0.6771653, 0.73747736, 0.5284091, 0.79708636]""",0.74878990650177,0.7019230723381042,"""[0.70553935, 0.15, 0.6709957, 0.7826086, 0.60655737, 0.8545455]""",0.6966199278831482
15,0.7172049880027771,"""[0.7026564, 0.27906975, 0.7086615, 0.76423764, 0.6, 0.82682675]""",0.7092309594154358,0.7115384340286255,"""[0.75241154, 0.28915665, 0.70044047, 0.757515, 0.5360825, 0.8090909]""",0.684154748916626
16,0.7125906348228455,"""[0.69535285, 0.45016077, 0.6978462, 0.7578419, 0.5229885, 0.82879376]""",0.6932868957519531,0.7487980723381042,"""[0.76543206, 0.11764705, 0.7564357, 0.7864077, 0.64077675, 0.8650793]""",0.6227630972862244
17,0.7010546922683716,"""[0.67108536, 0.42140472, 0.68401486, 0.7537313, 0.5745856, 0.8118609]""",0.7049340605735779,0.75,"""[0.7753846, 0.31707317, 0.68571424, 0.8128773, 0.70909095, 0.8695652]""",0.630469024181366
18,0.7172049880027771,"""[0.70420164, 0.4387097, 0.6948415, 0.75840205, 0.59999996, 0.8391039]""",0.6881347894668579,0.713942289352417,"""[0.6915254, 0.11764707, 0.7232472, 0.77494204, 0.4358974, 0.864]""",0.6443217396736145
19,0.7201713919639587,"""[0.70129865, 0.397351, 0.70688605, 0.7613777, 0.5785124, 0.8481142]""",0.6803761720657349,0.7283653616905212,"""[0.7313916, 0.1971831, 0.72570187, 0.77338874, 0.45454547, 0.88888884]""",0.6498019695281982
20,0.7303889393806458,"""[0.69863015, 0.4495114, 0.7215113, 0.7719298, 0.625323, 0.84623325]""",0.6659454107284546,0.7247596383094788,"""[0.75820893, 0.14285715, 0.70880365, 0.78968257, 0.35, 0.87068963]""",0.6358203291893005
21,0.716875433921814,"""[0.70509607, 0.37800688, 0.70680314, 0.75735295, 0.5534591, 0.83591336]""",0.6740489602088928,0.7307692170143127,"""[0.79538906, 0.24000002, 0.72772276, 0.73150104, 0.54901963, 0.8593155]""",0.6748170852661133
22,0.7267633676528931,"""[0.7174657, 0.44728437, 0.71007377, 0.77702284, 0.48967552, 0.8511489]""",0.6627482771873474,0.7151442170143127,"""[0.6940298, 0.22988504, 0.7214429, 0.78174603, 0.34285715, 0.87288135]""",0.6572517156600952
23,0.7326961159706116,"""[0.7218935, 0.423676, 0.7052239, 0.7786834, 0.62222224, 0.85514486]""",0.6499959230422974,0.760817289352417,"""[0.7622377, 0.43956047, 0.74613684, 0.7922912, 0.69026554, 0.8740158]""",0.6061862707138062
24,0.7415952682495117,"""[0.72602737, 0.53172207, 0.7353486, 0.77523214, 0.5892351, 0.8408163]""",0.6250528693199158,0.7463942170143127,"""[0.7816901, 0.21621624, 0.748538, 0.776699, 0.67692304, 0.84462154]""",0.6012848615646362
25,0.7300593256950378,"""[0.7039587, 0.40666667, 0.7107034, 0.77914107, 0.6017192, 0.85483867]""",0.6414026618003845,0.75,"""[0.75789475, 0.41509432, 0.7383966, 0.81012654, 0.5, 0.8734694]""",0.612045168876648
26,0.7455504536628723,"""[0.7331628, 0.44794956, 0.73185736, 0.78873235, 0.617801, 0.85714287]""",0.6183859705924988,0.7475961446762085,"""[0.7664671, 0.31914893, 0.7294117, 0.80190927, 0.7155964, 0.86868685]""",0.6102349758148193
27,0.7382992506027222,"""[0.7333333, 0.47811446, 0.7256857, 0.7743557, 0.5584046, 0.8482412]""",0.6292343735694885,0.7632211446762085,"""[0.8164557, 0.30136988, 0.7494145, 0.7918367, 0.6181818, 0.86290324]""",0.5682195425033569
28,0.7257745265960693,"""[0.70727575, 0.47999996, 0.710559, 0.76703846, 0.56593406, 0.84686536]""",0.6381229758262634,0.7680288553237915,"""[0.78, 0.3529412, 0.7331887, 0.82666665, 0.6862745, 0.8796993]""",0.5488508939743042
29,0.761041522026062,"""[0.74489796, 0.5419355, 0.75231624, 0.7930607, 0.6327077, 0.8606557]""",0.5897521376609802,0.754807710647583,"""[0.730038, 0.3, 0.7598425, 0.8, 0.6548673, 0.8851064]""",0.574691891670227
30,0.7412656545639038,"""[0.71080136, 0.46496814, 0.7211715, 0.79123557, 0.5679758, 0.87210476]""",0.6156296730041504,0.770432710647583,"""[0.75, 0.38554218, 0.74734604, 0.82956886, 0.65217394, 0.89711934]""",0.5402523279190063
31,0.7462096214294434,"""[0.7271126, 0.49382716, 0.73621106, 0.7804878, 0.64210534, 0.85535896]""",0.6022821664810181,0.7680288553237915,"""[0.7391305, 0.552381, 0.71354175, 0.82539684, 0.72131145, 0.909836]""",0.5746372938156128
32,0.7386288642883301,"""[0.725, 0.47923324, 0.72020084, 0.781751, 0.60115606, 0.8439074]""",0.6078117489814758,0.7716346383094788,"""[0.7672956, 0.29268295, 0.73978496, 0.83146065, 0.6846847, 0.9300412]""",0.5754703283309937
33,0.7544495463371277,"""[0.7497865, 0.4580645, 0.74785805, 0.7819549, 0.65053767, 0.8588832]""",0.5936112999916077,0.7584134340286255,"""[0.7588652, 0.2857143, 0.74895394, 0.83599997, 0.4941176, 0.85950416]""",0.5833238959312439
